1,ゲーム,
2,クリエイター,
3,その他,
4,アクション・FPS・TPS,1
5,格闘・スポーツ・レース,1
6,パズル・カード・サバイバル,1
7,MOBA・シューティング,1
8,動画作成・編集,2
9,イラスト作成・編集,2
10,コーチ育成,3
11,実況解説・大会運営,3
12,その他,3
13,Apex Lengends（PC版）,4
14,Apex Lengends（PS・Switch版）,1/4
15,Overwatch,1/4
16,Rainbim Six Siege,1/4
17,VALORANT,1/4
18,スプラトゥーン２,1/4
19,World of Tanks,1/4
20,World of Warships,1/4
21,ハイパースケープ,1/4
22,荒野行動,1/4
23,Fortnite,1/4
24,大乱闘スマッシュブラザーズ,1/4
25,Battlefield V,1/4
26,Call of Duty,1/4
27,CS:GO,1/4
28,ロケットリーグ,1/5
29,ストリートファイター,1/5
30,ウイイレ,1/5
31,グランブルーファンタジーヴァーサス,1/5
32,グランツーリスモ,1/5
33,Dead by Daylight,1/6
34,第五人格（Identity）,1/6
35,テトリス（TETRIS）,1/6
36,Shadowverse,1/6
37,Heartstone,1/6
38,MTG ARENA,1/6
39,ぷよぷよ,1/6
40,ドラゴンクエストライバルズ,1/6
41,レジェンド・オブ・ルーンテラ,1/6
42,LOL（League of Legends）,1/7
43,ポケモンユナイト,1/7
44,クラッシュ・ロワイヤル,1/7
45,AutoChess,1/7
46,東方プロジェクト,1/7
47,ブロスタ,1/7
48,コンパス,1/7
49,モバイルレジェンド,1/7
50,伝説対決（Arena of Valor）,1/7
51,TFT,1/7
